standard_id	audit_status	evidence_path	evidence_digest	audited_at	claim_ceiling_impact
derived-authority-recomputation	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
derived-authority-recomputation-named-authority-fallback-refusal	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
distinct-proof-surfaces-claim-ceilings	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
distribution-sharing-surface-claim-separation	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
documentation-freshness	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-27T06:55:16Z	completion, documentation, orchestration
execplan-no-handback-prototype-promotion-discard	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
execplan-plain-language-expected-output-interface-completeness	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
failure-remediation-quality-agent-actionable-output	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
feedback-to-rule-promotion	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
forward-only-state-transition-integrity-silent-reopen-prevention	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
fresh-init-retrofit-mode-separation	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
fresh-retrofit-repo-shape	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
generated-proof-artifact-provenance-anti-fabrication	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
generated-ready-completion-receipts	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
goal-contract-amendment-authority-required-claim-id-mapping	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
green-path-adequacy-satisfiable-strictness	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
guardrail-speed-isolation-cache-honesty	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
historical-regression-corpus-session-review-signals	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
human-audit-disposition-decomposition-judgment-claim-blocking	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
instruction-precedence-nested-agents-routing	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
issue-tracker-lifecycle-eligibility-terminal-state	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
lane-worktree-isolation-cleanup	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
live-beneficial-e2e	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
memory-wiki-context-only	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
namespace-progressive-disclosure	pass	validator/src/audit/namespace/law.rs	sha256:dc88f9d1f6a995677648291a2335e3b4ee5a3ffad75daea768fec75e4999ccfa	2026-06-27T06:55:16Z	completion, review, package, readiness, release
non-e2e-claim-ceiling-confidence-bounds	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
offline-schema-catalog-resolver-portability	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
one-command-fresh-environment-bootstrap-concurrent-resource-allocation	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
orchestrator-state-machine	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
plugin-bundled-component-graph-hook-app-mcp-safety	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
plugin-flow-graph-package-dependency-closure-plugin-product-journey	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
plugin-install-surface-metadata-cache-enable-state	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
plugin-product-cohesion-authority	pass	docs/plugin-cohesion-manifest.json	sha256:fc4ea63ecc38427932fc65d5c9c1d8468f1b0ec2d678aba3d6e7799c3732bbaf	2026-06-27T13:45:36Z	fit-repo, init, retrofit, product-cohesion, install, cache, app-registry
portable-non-prescriptive-adapter-implementation-choice	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
privacy-raw-artifact-boundary	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-27T06:55:16Z	security, review, fixtures
product-cohesion-product-claims	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
product-live-surface-receipts	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-27T06:55:16Z	recording, replay, transcript, product
product-proof-joins-substitution-blocking	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
product-strategy-positioning-research-eval-before-lane-planning	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
product-success-binding-goal-lane-execplan-authority	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
product-success-contract-initiation-authority	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
product-success-contract-review-packet-team-skill-routing	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
product-success-inspiration-source-provenance-disposition	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
product-success-lifecycle-transitions-no-late-afterthought	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
product-success-lineage-amendments-closed-product-claim-ids	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
purpose-backed-active-files	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
quality-score-taste-gates	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
raw-private-artifact-handling-category-only-evidence	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
repo-knowledge-index-core-beliefs	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
restartable-execplans	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
review-disagreement-override-judgment-boundary-governance	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
review-feedback-disposition-same-round-satisfaction	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
reviewer-to-gate-conversion	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-27T06:55:16Z	review, completion
runtime-feasibility-cost-strict-gate-usability	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
runtime-tool-identity	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-27T06:55:16Z	runtime, UI, product
scheduler-runner-tracker-boundaries	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
schema-evolution-receipt-migration-stale-version-invalidation	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
secret-token-boundaries	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
semantic-domain-type-naming	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
skill-catalog-context-budget-omission-warning	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
skill-local-reference-closure	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
skill-progressive-disclosure-metadata	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
source-card-freshness-ceiling	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
source-installed-cache-alignment	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-27T06:55:16Z	install, cache, app visibility
source-obligation-parity-anti-bundling	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
stable-identifier-normalization-collision	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
standards-gardener-promotion	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
std-automation-001	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-27T06:55:16Z	orchestration, automation, lane monitoring, completion
std-plans-001	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-27T06:55:16Z	planning, orchestration, completion
std-product-fitness-001	pass	schemas/product-fitness-receipt.schema.json	sha256:e695adcc2388fc35f3a218d70da6e43232864f42115446fba6f925f8b24734e6	2026-06-27T06:55:16Z	product-fitness, product-readiness, release, daily-driver, material-signoff
subagent-custom-agent-sandbox-approval-inheritance	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
subagent-orchestration-explicitness-token-model-cost-result-reconciliation	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
target-repo-audit-capability	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
targeted-refactor-debt-removal-standards-gardener-cadence	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
template-generation-governance-template-creator-boundary	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
third-party-dependency-legibility-typed-adapters	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
total-authority-types-impossible-state-elimination	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
transcript-quality-reuse-gates	pass	scripts/check-agent-standards	sha256:8c3993ba47f50f70e62116a486158eeb353c269800b589948c75cb73d6a960ff	2026-06-27T06:55:16Z	transcript, replay, product
trust-boundary-abuse-path-failure-path-coverage	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
typed-records-over-prose	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
validator-source-namespace-topology	pass	validator/src/audit/namespace/source/topology.rs	sha256:3b2e69b5feef3eeae31b9d4513d280ebead8bffe0ed77329cf6801e63b394042	2026-06-27T06:55:16Z	completion, review, package, readiness, release, cli-self-law, final-packet, update_goal
validator-theater-miswire-resistance	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
value-adoption-continuance-business-mission-evidence-hierarchy	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
workflow-template-parsing-rendering-reload	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
workspace-command-confinement-lifecycle-cleanup	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
worktree-lane-owner-cost-policy	pass	validator/src/audit/mandatory/law/surfaces.rs	sha256:d15624d154c45b6da45b0e8aedca1f90df270e21c9fa513ecf96bfe7f7798744	2026-06-27T06:55:16Z	completion, review, package, readiness, release
rust-developer-experience-authority	pass	validator/src/audit/rust/developer.rs	sha256:6d8078c3a4735c6fb9fcc855d24bfb310def1575fb85cf78cd51e399ae22925b	2026-06-27T06:55:16Z	completion, review, package, readiness, release, product, update_goal
rust-toolchain-substrate-authority	pass	validator/src/audit/rust/developer.rs	sha256:6d8078c3a4735c6fb9fcc855d24bfb310def1575fb85cf78cd51e399ae22925b	2026-06-27T06:55:16Z	completion, source, package, readiness, release, update_goal
rust-command-loop-authority	pass	validator/src/audit/rust/developer.rs	sha256:6d8078c3a4735c6fb9fcc855d24bfb310def1575fb85cf78cd51e399ae22925b	2026-06-27T06:55:16Z	completion, source, package, review, readiness, release, update_goal
rust-cache-no-cache-honesty	pass	validator/src/audit/rust/developer.rs	sha256:6d8078c3a4735c6fb9fcc855d24bfb310def1575fb85cf78cd51e399ae22925b	2026-06-27T06:55:16Z	routine usability, clean checkout, source, package, readiness, release, update_goal
rust-memory-resource-discipline	pass	validator/src/audit/rust/developer.rs	sha256:6d8078c3a4735c6fb9fcc855d24bfb310def1575fb85cf78cd51e399ae22925b	2026-06-27T06:55:16Z	source, package, runtime, readiness, release, update_goal
workspace-artifact-cache-garbage-collection	pass	validator/src/audit/rust/developer.rs	sha256:6d8078c3a4735c6fb9fcc855d24bfb310def1575fb85cf78cd51e399ae22925b	2026-06-27T06:55:16Z	completion, package, readiness, release, update_goal
